,ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max
58,MKR-USD,POL-USD,0.887370400838101,0.1976390098305602,0.4957827565824214,0.1398879993241401,0.3691375919003599,0.25451279561225,0.1398879993241401,0.3691375919003599
59,JASMY-USD,APT-USD,0.8868891014070043,0.0003644151519995437,1.8665378638223977e-05,,,,,
60,NEAR-USD,AVAX-USD,0.8866505965229092,0.06029034976459499,0.13718787407726485,8.25098963644283e-05,6.166420224226708e-05,7.208704930334769e-05,6.166420224226708e-05,8.25098963644283e-05
61,NEO-USD,TON-USD,0.8860292480617834,0.11080431145848235,0.20338224358772516,1.4038049824951197e-08,1.9914926222516485e-08,1.697648802373384e-08,1.4038049824951197e-08,1.9914926222516485e-08
62,FLOKI-USD,BNB-USD,0.8851103535914235,0.17350689475154707,0.7080994397881718,0.003486027166489653,0.05384227200994908,0.028664149588219365,0.003486027166489653,0.05384227200994908
63,NEO-USD,FLOW-USD,0.88463174355493,0.10864205152036766,0.27525229090413883,0.0002403269541024732,0.00017029656670770432,0.00020531176040508876,0.00017029656670770432,0.0002403269541024732
64,NEO-USD,ICP-USD,0.8832282212986797,0.03224371883905664,0.01729771155688287,,,,,
65,LTC-USD,LINK-USD,0.8829774566247696,0.2103245670274247,0.18695943356765016,0.05476060566947261,0.06068220801799959,0.0577214068437361,0.05476060566947261,0.06068220801799959
66,BNB-USD,BTC-USD,0.8824239399800802,0.6265869384620631,0.9654871239148519,0.4002041376041154,0.7310402095996171,0.5656221736018663,0.4002041376041154,0.7310402095996171
67,VET-USD,ADA-USD,0.8817562192577012,0.043741794496021606,0.24845350157836088,,,,,
68,CAKE-USD,TON-USD,0.8813025887877625,0.24406290499693856,0.3333885426798263,3.4307289054655524e-06,7.796145223138786e-06,5.61343706430217e-06,3.4307289054655524e-06,7.796145223138786e-06
69,FIL-USD,PI-USD,0.8812523216902154,0.12961118856112314,0.006132512879540812,,,,,
70,NEXO-USD,VET-USD,0.8811465451335915,0.13705301752434623,0.043741794496021606,,,,,
71,POL-USD,DOGE-USD,0.8808107293696189,0.4957827565824214,0.5574363730020797,0.5874297763587989,0.6678208914218289,0.6276253338903139,0.5874297763587989,0.6678208914218289
72,CAKE-USD,FORM-USD,0.8799836120146363,0.304282706983376,0.020504263514043896,,,,,
73,CAKE-USD,FIL-USD,0.8796526788224928,0.24406290499693856,0.1940911956674592,0.0007038306703102465,0.0005560852947947832,0.0006299579825525148,0.0005560852947947832,0.0007038306703102465
74,CAKE-USD,EOS-USD,0.8793895733045615,0.24406290499693856,0.5708530041965015,0.034927772474118435,0.07914098389153629,0.05703437818282736,0.034927772474118435,0.07914098389153629
75,VET-USD,XMR-USD,0.878946860346315,0.043741794496021606,0.09629483712039766,,,,,
76,EOS-USD,TON-USD,0.877213097380567,0.5670953245951217,0.20338224358772516,8.848490730894084e-05,5.847986393312139e-06,4.716644685112649e-05,5.847986393312139e-06,8.848490730894084e-05
77,GT-USD,TRX-USD,0.8769400605225101,0.999079048442825,0.9592492139687313,0.05900064116568113,0.0027652796447835194,0.030882960405232324,0.0027652796447835194,0.05900064116568113
78,KAS-USD,ETH-USD,0.8754084005271916,0.6709424923707794,0.6263402351511439,0.0977113036977108,0.09170559231600084,0.09470844800685582,0.09170559231600084,0.0977113036977108
79,VET-USD,DOT-USD,0.8754083097596143,0.048918567700089614,0.33815806469182674,,,,,
80,VET-USD,POL-USD,0.8751667305876684,5.828850246089665e-05,0.4957827565824214,,,,,
81,APT-USD,DOT-USD,0.874281246541246,1.8665378638223977e-05,0.0026705735521472002,,,,,
82,FLOW-USD,CAKE-USD,0.8740245529282057,0.27525229090413883,0.2924457772846021,0.022928234481382224,0.01809506703391552,0.020511650757648874,0.01809506703391552,0.022928234481382224
83,AXS-USD,HNT-USD,0.8726590078153981,0.3598935942172554,0.3592624588983465,0.03209695757716616,0.02927446767840416,0.03068571262778516,0.02927446767840416,0.03209695757716616
84,BTT-USD,STX-USD,0.8724420675507295,0.17488704924471832,0.5097074929040193,0.00873799274184506,0.025455126149158326,0.017096559445501692,0.00873799274184506,0.025455126149158326
85,EOS-USD,FORM-USD,0.872301451878766,0.25064738911166606,0.020504263514043896,,,,,
86,KCS-USD,AVAX-USD,0.8715914933686286,0.13796989642345814,0.13933565730774095,0.008104806010822415,0.007315719789541319,0.007710262900181867,0.007315719789541319,0.008104806010822415
87,FLOW-USD,APT-USD,0.8713102676543805,5.032182181703994e-06,1.8665378638223977e-05,,,,,
88,NEO-USD,FORM-USD,0.8696372277482117,0.31366093480927904,0.020504263514043896,,,,,
89,XDC-USD,ADA-USD,0.8689947333351984,0.3945205647904032,0.24845350157836088,0.030130082609589534,0.04342414743972785,0.03677711502465869,0.030130082609589534,0.04342414743972785
90,THETA-USD,DOT-USD,0.8684212582547959,0.16563808680808018,0.33815806469182674,0.0036050280673856176,0.013346029590396444,0.008475528828891032,0.0036050280673856176,0.013346029590396444
91,FLOW-USD,BTT-USD,0.8678734636107949,0.27525229090413883,0.2105312140610956,0.0006046851948266897,0.00036732727186893104,0.00048600623334781035,0.00036732727186893104,0.0006046851948266897
92,XTZ-USD,STX-USD,0.8678270580887658,0.31849921913613366,0.5097074929040193,0.02199203423516239,0.08110877723659998,0.05155040573588118,0.02199203423516239,0.08110877723659998
93,EOS-USD,ICP-USD,0.8675856203880218,0.04757441521071331,0.01729771155688287,,,,,
94,HNT-USD,STX-USD,0.8668726140711621,0.36903393366611026,0.5365572879777498,0.03103958590744828,0.057430550575550764,0.044235068241499524,0.03103958590744828,0.057430550575550764
95,NEXO-USD,DOT-USD,0.8667163181460974,0.09054789033197125,0.33815806469182674,0.15552769956103552,0.19887145037899467,0.1771995749700151,0.15552769956103552,0.19887145037899467
96,ALGO-USD,HBAR-USD,0.866390267360682,0.5047636489909278,0.3947652426586486,0.5665203785300744,0.3452577578919973,0.45588906821103586,0.3452577578919973,0.5665203785300744
97,FLOW-USD,LTC-USD,0.8660078337591811,0.27525229090413883,0.2484036675918186,0.00835816603632566,0.0030677751490863314,0.005712970592705996,0.0030677751490863314,0.00835816603632566
98,BCH-USD,LINK-USD,0.8644436659545558,0.11326969973687262,0.18695943356765016,0.01067038036214014,0.015301676813470607,0.012986028587805374,0.01067038036214014,0.015301676813470607
99,VET-USD,LINK-USD,0.8640742691216666,0.043741794496021606,0.18695943356765016,,,,,
100,XTZ-USD,TON-USD,0.8639939078694507,0.516858566699354,0.20338224358772516,0.012007020880533055,0.0014261787071681768,0.006716599793850616,0.0014261787071681768,0.012007020880533055
101,GT-USD,BNB-USD,0.8639108363158358,0.999079048442825,0.6265869384620631,1.0,0.9673312293586381,0.983665614679319,0.9673312293586381,1.0
102,KAS-USD,SOL-USD,0.8633723289550395,0.6709424923707794,0.9574115901761231,0.44856710134107464,0.6991642037018544,0.5738656525214645,0.44856710134107464,0.6991642037018544
103,XTZ-USD,EOS-USD,0.8628257303442015,0.31849921913613366,0.41686967021358007,0.004906185310035819,0.043916723959793576,0.024411454634914696,0.004906185310035819,0.043916723959793576
104,FORM-USD,THETA-USD,0.8626408956637182,0.020504263514043896,0.15406438723309213,,,,,
105,HNT-USD,AVAX-USD,0.8625120619827847,0.38730898915067613,0.13933565730774095,0.17594059110330984,0.11492941449867611,0.14543500280099297,0.11492941449867611,0.17594059110330984
106,SOL-USD,BTC-USD,0.8622485875973059,0.8371735045947936,0.9539667091105337,0.2010461913257774,0.34173818216572205,0.2713921867457497,0.2010461913257774,0.34173818216572205
